C,dphi,tau,F_res,F_cap,B,S,zone
0.163950,0.811616,0.856116,0.172998,0.172998,0.55415,0.44585,regulativ
0.084028,0.355859,0.856116,0.202073,0.202073,0.61216,0.38784,regulativ
0.139373,0.477707,0.856116,0.249768,0.249768,0.70337,0.29663,regulativ
0.141640,0.453291,0.856116,0.267341,0.267341,0.73217,0.26783,regulativ
0.176819,0.182828,0.856116,0.829155,0.829155,0.91920,0.08080,koh채rent
0.034751,0.099293,0.856116,0.299711,0.299711,0.78329,0.21671,regulativ
0.036042,0.093939,0.856116,0.328472,0.328472,0.82665,0.17335,koh채rent
0.038415,0.419848,0.856116,0.078040,0.078040,0.19920,0.80080,fragmentiert
0.139373,0.365657,0.856116,0.326359,0.326359,0.82329,0.17671,koh채rent
0.163950,0.740404,0.856116,0.189714,0.189714,0.58869,0.41131,regulativ
0.080916,0.153182,0.856116,0.451914,0.451914,0.87267,0.12733,koh채rent
0.035251,0.148586,0.856116,0.203294,0.203294,0.61434,0.38566,regulativ